,date,Tavg,RH_avg,RR,ddd_x,ff_avg,station_name,flood
68,2016-07-05,27.2,86.0,4.3,180.0,2.0,Stasiun Klimatologi Banten,0
69,2016-07-06,28.4,81.0,14.2,50.0,2.0,Stasiun Klimatologi Banten,0
70,2016-07-07,28.9,81.0,1.4,50.0,2.0,Stasiun Klimatologi Banten,0
71,2016-07-08,28.2,81.0,12.8,60.0,2.0,Stasiun Klimatologi Banten,0
72,2016-07-09,28.7,79.0,1.4,100.0,2.0,Stasiun Klimatologi Banten,0
73,2016-07-10,27.7,83.0,1.4,70.0,1.0,Stasiun Klimatologi Banten,0
74,2016-07-11,27.1,92.0,1.4,90.0,1.0,Stasiun Klimatologi Banten,0
75,2016-07-12,27.0,90.0,24.5,160.0,1.0,Stasiun Klimatologi Banten,0
76,2016-07-13,26.6,90.0,21.7,50.0,1.0,Stasiun Klimatologi Banten,0
77,2016-07-14,28.2,83.0,0.8,60.0,2.0,Stasiun Klimatologi Banten,0
78,2016-07-15,28.6,81.0,1.4,50.0,2.0,Stasiun Klimatologi Banten,0
79,2016-07-16,27.3,87.0,1.4,250.0,1.0,Stasiun Klimatologi Banten,0
80,2016-07-17,27.0,89.0,1.4,270.0,1.0,Stasiun Klimatologi Banten,1
81,2016-07-18,26.4,86.0,4.0,200.0,1.0,Stasiun Klimatologi Banten,0
82,2016-07-19,26.3,94.0,42.8,260.0,1.0,Stasiun Klimatologi Banten,0
83,2016-07-20,25.5,90.0,2.3,50.0,1.0,Stasiun Klimatologi Banten,1
84,2016-07-21,27.7,82.0,29.6,240.0,2.0,Stasiun Klimatologi Banten,1
85,2016-07-22,25.0,94.0,0.6,100.0,1.0,Stasiun Klimatologi Banten,1
86,2016-07-23,27.3,83.0,1.4,50.0,2.0,Stasiun Klimatologi Banten,1
87,2016-07-24,26.6,88.0,1.7,160.0,1.0,Stasiun Klimatologi Banten,1
88,2016-07-25,26.4,90.0,24.0,280.0,1.0,Stasiun Klimatologi Banten,0
89,2016-07-26,27.3,78.0,12.0,240.0,1.0,Stasiun Klimatologi Banten,0
90,2016-07-27,27.9,77.0,1.4,90.0,2.0,Stasiun Klimatologi Banten,0
91,2016-07-28,27.8,78.0,1.4,70.0,1.0,Stasiun Klimatologi Banten,0
92,2016-07-29,27.9,83.0,1.4,280.0,1.0,Stasiun Klimatologi Banten,0
93,2016-07-30,28.1,82.0,14.2,110.0,2.0,Stasiun Klimatologi Banten,0
94,2016-07-31,28.4,76.0,1.4,60.0,1.0,Stasiun Klimatologi Banten,0
95,2016-08-01,28.9,80.0,1.4,180.0,1.0,Stasiun Klimatologi Banten,0
96,2016-08-02,27.2,80.0,1.2,180.0,2.0,Stasiun Klimatologi Banten,0
97,2016-08-03,28.1,69.0,40.0,70.0,2.0,Stasiun Klimatologi Banten,0
98,2016-08-04,27.9,73.0,1.4,170.0,1.0,Stasiun Klimatologi Banten,0
99,2016-08-05,27.4,75.0,1.4,160.0,1.0,Stasiun Klimatologi Banten,0
100,2016-08-06,27.8,74.0,1.4,210.0,1.0,Stasiun Klimatologi Banten,0
101,2016-08-07,28.1,72.0,1.4,250.0,1.0,Stasiun Klimatologi Banten,0
102,2016-08-08,27.8,82.0,0.6,130.0,1.0,Stasiun Klimatologi Banten,0
103,2016-08-09,26.7,85.0,9.7,220.0,1.0,Stasiun Klimatologi Banten,0
104,2016-08-10,27.4,81.0,43.3,80.0,1.0,Stasiun Klimatologi Banten,0
105,2016-08-11,28.8,78.0,1.4,120.0,1.0,Stasiun Klimatologi Banten,0
106,2016-08-12,28.0,83.0,4.0,70.0,1.0,Stasiun Klimatologi Banten,0
107,2016-08-13,28.7,75.0,0.3,270.0,2.0,Stasiun Klimatologi Banten,0
108,2016-08-14,26.1,89.0,9.9,60.0,1.0,Stasiun Klimatologi Banten,0
109,2016-08-15,27.5,83.0,19.0,60.0,1.0,Stasiun Klimatologi Banten,0
110,2016-08-16,27.7,77.0,1.4,80.0,1.0,Stasiun Klimatologi Banten,0
111,2016-08-17,28.3,76.0,1.4,110.0,2.0,Stasiun Klimatologi Banten,0
112,2016-08-18,27.7,82.0,2.9,190.0,1.0,Stasiun Klimatologi Banten,0
113,2016-08-19,28.5,78.0,1.4,80.0,1.0,Stasiun Klimatologi Banten,1
114,2016-08-20,27.7,76.0,25.0,220.0,2.0,Stasiun Klimatologi Banten,1
115,2016-08-21,28.4,76.0,1.4,260.0,1.0,Stasiun Klimatologi Banten,0
116,2016-08-22,27.5,77.0,25.2,100.0,1.0,Stasiun Klimatologi Banten,0
117,2016-08-23,27.9,79.0,21.5,230.0,0.0,Stasiun Klimatologi Banten,0
